Nom,Fabriquant,Site,Page produit,Processeur,Mémoire,Prix,Sortie Vidéo,Sortie SON,WIFI,Reseau,Bluetooth
86Duino / 86Duino One," DM&P, 86Duino.com",http://linuxgizmos.com/arduino-compatible-boardset-runs-linux-on-x86/ ,http://www.86duino.com/index.php?p=68,P Vortex86EX (1x x86 @ 300MHz) , 128MB RAM," $39 (Zero), $69 (One)",11,22,33,44,55
A10-OlinuXino-Lime," Olimex, OlinuXino, Mouser",https://www.olimex.com/Products/OlinuXino/A10/A10-OlinuXino-LIME/open-source-hardware,https://www.olimex.com/Products/OlinuXino/A10/A10-OlinuXino-LIME/open-source-hardware,  Allwinner A10 (1x Cortex-A8 @ 1GHz) + Mali-400 GPU, 512MB DDR3 RAM, $33 (30 Euros),11,22,33,44,55
A20-OlinuXino-Micro ,"Olimex, OlinuXino, Mouser","http://linuxgizmos.com/open-sbc-runs-linux-and-android-allwinner-a20-soc/"" ","https://www.olimex.com/Products/OlinuXino/A20/A20-OlinuXino-MICRO/open-source-hardware""", Allwinner A20 (2x Cortex-A7 @ 1GHz) Mali-400 GPU, 1GB DDR3 RAM  optional 4GB NAND flash with preloaded Android, $60 (55 Euros),11,22,33,44,55
Andromeda Box Edge, Marvell,"https://www.arrow.com/en/products/rd-andromeda-140-01/marvell-semiconductor#page-1"" ",https://www.arrow.com/en/products/rd-andromeda-140-01/marvell-semiconductor#page-1, Marvell IAP140 (4x Cortex-A53 cores @ 1.2GHz)  Vivante GC7000UL GPU, 1GB LPDDR3 RAM  8GB eMMC, $75,11,22,33,44,55
Arduino Yún Mini , Arduino Srl,"http://linuxgizmos.com/arduino-shrinks-linux-ready-yun-to-mini-size/"" ","http://arduino.org/products/arduino-yun-mini"" ", Qualcomm Atheros AR9331 (1x MIPS24k @ up to 400MHz), 64MB DDR2 RAM, $60,11,22,33,44,55
Arndale Octa," ArndaleBoard.org, InSignal, Pyrustek",http://www.pyrustek.com/us/, Samsung Exynos 5420 Octa (4x Cortex-A15 @ 1.8GHz and 4x Cortex-A7 @ 1.3GHz),  Samsung Exynos 5420 Octa (4x Cortex-A15 @ 1.8GHz and 4x Cortex-A7 @ 1.3GHz) + ARM Mali T-628 MP6 GPU, 3GB LPDDR3e RAM, $199,11,22,33,44,55
Banana Pi M2, SinoVoip,"http://linuxgizmos.com/banana-pi-project-forks-as-competing-gen-2-sbcs-emerge/"" ","http://tinyonestore.com/products/banana-pi-m2-quad-core-board"" ", Allwinner A31 (4x Cortex-A7 @ 1GHz), PowerVR SGX544MP2 GPU  1GB DDR3 RAM, $58,11,22,33,44,55
Banana Pi M3, SinoVoip,"http://www.banana-pi.org/m3.html"" ",http://www.pyrustek.com/us/?menuType=product&mode=view&act=list&page=&searchField=&searchKey=&lcate=001&mcate=001&scate=&fcate=&sort=&prodCode=2013102100003&searchIcon6=&searchIcon7=&searchIcon8=&searchIcon9=&searchColor=&searchSize=&pr_no=&searchStartPrice=&searchEndPrice=, PowerVR SGX544MP1 GPU, 2GB LPDDR3 RAM, $88,11,22,33,44,55
Banana Pro , LeMaker,"http://linuxgizmos.com/banana-pi-project-forks-as-competing-gen-2-sbcs-emerge/"" ","http://www.lemaker.org/"" ", Allwinner A20 (2x Cortex-A7 @ 1GHz)  Mali-400 MP2 GPU, 1GB DDR3 RAM, $48,11,22,33,44,55
BeagleBone Black," BeagleBone.org, CircuitCo","http://linuxgizmos.com/beaglebone-black-rev-c-doubles-flash-moves-to-debian/"" ","http://beagleboard.org/BLACK"" ", TI Sitara AM3358 (1x Cortex-A8 @ 1GHz), 512MB RAM  4GB flash, $50,11,22,33,44,55
